timestamp,crossing,event,train_prob,signal,closed,maintenance_mode,raw_json
2026-03-31T20:56:53Z,Fourth,Clear,0.0,0.020025,False,False,"{""fourthStatus"":{""train"":2.5e-7,""signal"":0.02002484},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-01T09:50:26Z,Fourth,Blocked,0.999341,0.07389,True,False,"{""fourthStatus"":{""train"":0.99934071,""signal"":0.07388999},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-01T09:50:26Z,Fourth,Train!,0.999341,0.07389,True,False,"{""fourthStatus"":{""train"":0.99934071,""signal"":0.07388999},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-01T10:50:03Z,Fourth,Clear,0.014678,0.052782,False,False,"{""fourthStatus"":{""train"":0.01467758,""signal"":0.052782},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-03T03:26:58Z,Fourth,Blocked,0.999979,0.060021,True,False,"{""fourthStatus"":{""train"":0.99997938,""signal"":0.06002079},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-03T03:26:58Z,Fourth,Train!,0.999979,0.060021,True,False,"{""fourthStatus"":{""train"":0.99997938,""signal"":0.06002079},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-03T05:20:32Z,Fourth,Clear,0.005421,0.266267,False,False,"{""fourthStatus"":{""train"":0.00542063,""signal"":0.26626685},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-04T09:04:35Z,Fourth,Blocked,1,0.061913,True,False,"{""fourthStatus"":{""train"":1,""signal"":0.06191335},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-04T09:04:35Z,Fourth,Train!,1,0.061913,True,False,"{""fourthStatus"":{""train"":1,""signal"":0.06191335},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-04T09:53:56Z,Fourth,Clear,0.038066,0.031474,False,False,"{""fourthStatus"":{""train"":0.03806596,""signal"":0.0314742},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-04T13:58:28Z,Fourth,Blocked,0.996488,0.038958,True,False,"{""fourthStatus"":{""train"":0.99648762,""signal"":0.03895843},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-04T13:58:28Z,Fourth,Train!,0.996488,0.038958,True,False,"{""fourthStatus"":{""train"":0.99648762,""signal"":0.03895843},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-04T14:36:27Z,Fourth,Clear,0,0.01581,False,False,"{""fourthStatus"":{""train"":0,""signal"":0.0158101},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-04T16:28:27Z,Fourth,Train!,0.118966,0.002546,False,False,"{""fourthStatus"":{""train"":0.11896602,""signal"":0.00254617},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-04T17:02:12Z,Fourth,Clear,0.0,0.032672,False,False,"{""fourthStatus"":{""train"":2e-8,""signal"":0.03267214},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-05T06:05:31Z,Fourth,Blocked,0.983603,0.021341,True,False,"{""fourthStatus"":{""train"":0.98360276,""signal"":0.02134119},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-05T06:05:31Z,Fourth,Train!,0.983603,0.021341,True,False,"{""fourthStatus"":{""train"":0.98360276,""signal"":0.02134119},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-05T07:31:38Z,Fourth,Clear,0.00363,0.022509,False,False,"{""fourthStatus"":{""train"":0.00362999,""signal"":0.02250911},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-05T15:55:23Z,Fourth,Blocked,0.990903,0.037727,True,False,"{""fourthStatus"":{""train"":0.9909026,""signal"":0.03772659},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-05T15:55:23Z,Fourth,Train!,0.990903,0.037727,True,False,"{""fourthStatus"":{""train"":0.9909026,""signal"":0.03772659},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-05T16:01:22Z,Fourth,Clear,0,0.009492,False,False,"{""fourthStatus"":{""train"":0,""signal"":0.00949188},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-05T19:22:28Z,Fourth,Blocked,0.747887,0.023106,True,False,"{""fourthStatus"":{""train"":0.74788654,""signal"":0.02310625},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-05T19:22:28Z,Fourth,Train!,0.747887,0.023106,True,False,"{""fourthStatus"":{""train"":0.74788654,""signal"":0.02310625},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-05T19:55:03Z,Fourth,Blocked,0.918301,0.021562,True,False,"{""fourthStatus"":{""train"":0.91830081,""signal"":0.02156188},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-04-05T19:55:03Z,Fourth,Train!,0.918301,0.021562,True,False,"{""fourthStatus"":{""train"":0.91830081,""signal"":0.02156188},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
